timestamp,time_seconds,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c
2026-02-12 18:14:03.035,134.900,0.321533,0.503662,-0.781982,1.786,-2.840,0.542,31.36
2026-02-12 18:14:03.135,135.000,0.324219,0.507080,-0.781494,1.794,-2.824,-0.046,31.51
2026-02-12 18:14:03.235,135.100,0.319580,0.509521,-0.777100,1.916,-2.947,0.359,31.46
2026-02-12 18:14:03.335,135.200,0.319092,0.508545,-0.781982,1.672,-3.107,0.153,31.51
2026-02-12 18:14:03.435,135.300,0.321289,0.506592,-0.772949,1.603,-2.992,0.359,31.46
2026-02-12 18:14:03.535,135.400,0.324707,0.504883,-0.780273,1.718,-2.794,0.489,31.46
2026-02-12 18:14:03.635,135.500,0.323486,0.508057,-0.780518,1.840,-2.893,0.275,31.56
2026-02-12 18:14:03.735,135.600,0.321045,0.507568,-0.783691,1.748,-2.809,0.275,31.66
2026-02-12 18:14:03.835,135.700,0.324951,0.506348,-0.772949,1.557,-2.924,0.336,31.46
2026-02-12 18:14:03.935,135.800,0.321533,0.509277,-0.777588,1.756,-2.817,0.107,31.46
2026-02-12 18:14:04.035,135.900,0.322754,0.505859,-0.780273,1.649,-2.779,0.496,31.22
2026-02-12 18:14:04.135,136.000,0.321289,0.504395,-0.777100,1.710,-2.702,0.107,31.36
2026-02-12 18:14:04.235,136.100,0.322266,0.504395,-0.780029,1.733,-3.015,0.420,31.66
2026-02-12 18:14:04.335,136.200,0.323730,0.504883,-0.777832,1.695,-2.718,0.313,31.46
2026-02-12 18:14:04.435,136.300,0.320312,0.504639,-0.775879,1.740,-2.916,0.160,31.66
2026-02-12 18:14:04.535,136.400,0.317383,0.502930,-0.775635,1.344,-2.962,0.031,31.51
2026-02-12 18:14:04.635,136.500,0.323975,0.503662,-0.784180,1.786,-2.725,0.176,31.46
2026-02-12 18:14:04.735,136.600,0.321289,0.505615,-0.784668,1.580,-2.817,-0.031,31.36
2026-02-12 18:14:04.835,136.700,0.322266,0.503906,-0.776123,1.710,-2.931,0.405,31.36
2026-02-12 18:14:04.935,136.800,0.318848,0.505859,-0.774170,1.977,-2.901,0.252,31.71
2026-02-12 18:14:05.035,136.900,0.322754,0.510254,-0.785156,1.916,-2.786,0.588,31.36
2026-02-12 18:14:05.135,137.000,0.320312,0.511719,-0.775391,1.626,-2.817,0.336,31.36
2026-02-12 18:14:05.235,137.100,0.326660,0.507080,-0.778564,1.603,-2.924,0.511,31.76
2026-02-12 18:14:05.335,137.200,0.320557,0.504150,-0.777588,1.702,-2.885,0.420,31.32
2026-02-12 18:14:05.435,137.300,0.321045,0.504639,-0.778320,1.840,-3.031,0.099,31.36
2026-02-12 18:14:05.535,137.400,0.326172,0.508545,-0.782959,1.824,-3.153,0.069,31.46
2026-02-12 18:14:05.635,137.500,0.322754,0.506592,-0.776611,1.580,-2.832,0.160,31.66
2026-02-12 18:14:05.735,137.600,0.319336,0.505859,-0.782959,1.802,-2.672,-0.099,31.71
2026-02-12 18:14:05.835,137.700,0.320312,0.506836,-0.779297,1.702,-2.962,0.359,31.51
2026-02-12 18:14:05.935,137.800,0.321045,0.507568,-0.781250,1.534,-2.748,0.366,31.51
2026-02-12 18:14:06.035,137.900,0.321289,0.511719,-0.775146,1.718,-2.840,0.092,31.46
2026-02-12 18:14:06.135,138.000,0.322266,0.509033,-0.784668,1.802,-2.931,0.137,31.32
2026-02-12 18:14:06.235,138.100,0.323486,0.507812,-0.776367,1.939,-2.794,0.351,31.71
2026-02-12 18:14:06.335,138.200,0.323975,0.510254,-0.781006,1.588,-2.847,0.290,31.71
2026-02-12 18:14:06.435,138.300,0.324463,0.505371,-0.776123,1.718,-2.908,0.382,31.32
2026-02-12 18:14:06.535,138.400,0.326660,0.505127,-0.787842,1.725,-2.832,0.412,31.36
2026-02-12 18:14:06.635,138.500,0.319336,0.505127,-0.776855,1.626,-2.885,0.351,31.66
2026-02-12 18:14:06.735,138.600,0.323242,0.504883,-0.776367,1.840,-2.756,0.053,31.46
2026-02-12 18:14:06.835,138.700,0.322510,0.507812,-0.780029,1.702,-2.824,0.214,31.36
2026-02-12 18:14:06.935,138.800,0.321289,0.504395,-0.788574,1.481,-2.771,0.183,31.32
2026-02-12 18:14:07.035,138.900,0.324951,0.504883,-0.780762,2.038,-2.916,0.313,31.51
2026-02-12 18:14:07.135,139.000,0.321045,0.509766,-0.782471,1.687,-2.656,0.214,31.36
2026-02-12 18:14:07.235,139.100,0.321533,0.506104,-0.781250,2.038,-3.038,0.382,31.66
2026-02-12 18:14:07.335,139.200,0.322021,0.507568,-0.780518,1.695,-2.710,0.183,31.51
2026-02-12 18:14:07.435,139.300,0.323486,0.511230,-0.780029,1.542,-2.802,0.427,31.66
2026-02-12 18:14:07.535,139.400,0.325439,0.506348,-0.782471,1.779,-2.748,0.076,31.56
2026-02-12 18:14:07.635,139.500,0.322754,0.510498,-0.775146,1.710,-2.786,0.206,31.66
2026-02-12 18:14:07.735,139.600,0.325439,0.507080,-0.779785,1.649,-2.595,0.298,31.51
2026-02-12 18:14:07.835,139.700,0.323242,0.506836,-0.780029,1.672,-2.550,0.321,31.56
2026-02-12 18:14:07.935,139.800,0.323975,0.510254,-0.782715,1.603,-2.756,0.527,31.66
2026-02-12 18:14:08.035,139.900,0.324707,0.502686,-0.777100,1.588,-2.626,0.115,31.36
2026-02-12 18:14:08.135,140.000,0.317383,0.507080,-0.779297,1.908,-2.603,0.382,31.56
2026-02-12 18:14:08.235,140.100,0.323486,0.509766,-0.777588,1.748,-2.779,0.344,31.51
2026-02-12 18:14:08.335,140.200,0.324951,0.507324,-0.780762,1.565,-2.733,0.061,31.46
2026-02-12 18:14:08.435,140.300,0.323975,0.509033,-0.778320,1.672,-2.786,0.176,31.51
2026-02-12 18:14:08.535,140.400,0.323730,0.505859,-0.777588,1.565,-2.679,0.023,31.51
2026-02-12 18:14:08.635,140.500,0.322510,0.507812,-0.781250,1.725,-2.786,0.023,31.46
2026-02-12 18:14:08.735,140.600,0.323486,0.507568,-0.780029,1.687,-2.863,0.427,31.51
2026-02-12 18:14:08.835,140.700,0.323975,0.504395,-0.777588,1.618,-2.725,0.290,31.32
2026-02-12 18:14:08.935,140.800,0.323486,0.512207,-0.776123,1.725,-2.893,0.244,31.32
2026-02-12 18:14:09.035,140.900,0.323242,0.507812,-0.777832,1.817,-2.786,0.450,31.71
2026-02-12 18:14:09.135,141.000,0.320312,0.507568,-0.782471,1.656,-2.725,0.191,31.32
2026-02-12 18:14:09.235,141.100,0.324463,0.510742,-0.782227,1.863,-2.809,0.092,31.66
2026-02-12 18:14:09.335,141.200,0.327148,0.507324,-0.777344,1.595,-2.977,0.145,31.51
2026-02-12 18:14:09.435,141.300,0.321289,0.509033,-0.779053,1.656,-2.725,0.153,31.36
2026-02-12 18:14:09.535,141.400,0.322510,0.510986,-0.779785,1.611,-2.756,0.176,31.51
2026-02-12 18:14:09.635,141.500,0.321289,0.507080,-0.776855,1.786,-2.702,0.282,31.46
2026-02-12 18:14:09.735,141.600,0.322510,0.505371,-0.781738,1.855,-2.992,0.366,31.36
2026-02-12 18:14:09.835,141.700,0.325439,0.507324,-0.786621,1.863,-2.710,0.305,31.22
2026-02-12 18:14:09.935,141.800,0.317627,0.504639,-0.775635,1.580,-2.710,0.374,31.36
2026-02-12 18:14:10.035,141.900,0.324951,0.505615,-0.780762,1.817,-2.992,0.145,31.66
2026-02-12 18:14:10.135,142.000,0.317627,0.505127,-0.776367,1.702,-2.977,0.176,31.46
2026-02-12 18:14:10.235,142.100,0.322021,0.508057,-0.781250,1.595,-3.053,0.099,31.36
2026-02-12 18:14:10.335,142.200,0.326172,0.507324,-0.773193,1.817,-2.824,0.237,31.36
2026-02-12 18:14:10.435,142.300,0.322021,0.507080,-0.777832,1.733,-2.718,0.359,31.46
2026-02-12 18:14:10.535,142.400,0.320312,0.507568,-0.775635,1.710,-2.656,0.282,31.22
2026-02-12 18:14:10.635,142.500,0.321533,0.507080,-0.781982,1.847,-2.794,0.198,31.17
2026-02-12 18:14:10.735,142.600,0.322754,0.507812,-0.785400,1.748,-2.840,0.084,31.56
2026-02-12 18:14:10.835,142.700,0.321289,0.504639,-0.778564,1.550,-2.809,0.305,31.66
2026-02-12 18:14:10.935,142.800,0.322021,0.508301,-0.776367,1.878,-2.824,0.328,31.51
2026-02-12 18:14:11.035,142.900,0.322754,0.508057,-0.777832,1.626,-3.176,0.183,31.66
2026-02-12 18:14:11.135,143.000,0.323486,0.503174,-0.783936,1.679,-2.794,0.328,31.32
2026-02-12 18:14:11.235,143.100,0.323242,0.503418,-0.777588,1.725,-2.748,0.084,31.66
2026-02-12 18:14:11.335,143.200,0.318848,0.505859,-0.772461,1.649,-2.649,0.550,31.66
2026-02-12 18:14:11.435,143.300,0.320557,0.504150,-0.779785,1.763,-2.885,0.427,31.36
2026-02-12 18:14:11.535,143.400,0.320557,0.502930,-0.780029,1.687,-2.977,0.557,31.51
2026-02-12 18:14:11.635,143.500,0.325195,0.502930,-0.775879,1.550,-3.038,0.221,31.66
2026-02-12 18:14:11.735,143.600,0.321289,0.505371,-0.778076,1.450,-2.885,0.580,31.36
2026-02-12 18:14:11.835,143.700,0.323242,0.508057,-0.781006,1.679,-2.695,0.046,31.66
2026-02-12 18:14:11.935,143.800,0.322266,0.508545,-0.778320,1.824,-2.733,0.153,31.51
2026-02-12 18:14:12.035,143.900,0.322998,0.507080,-0.783936,1.573,-2.840,0.137,31.51
2026-02-12 18:14:12.135,144.000,0.325195,0.510010,-0.779785,1.542,-2.634,0.481,31.66
2026-02-12 18:14:12.235,144.100,0.323486,0.506104,-0.773438,1.771,-2.748,0.481,31.51
2026-02-12 18:14:12.335,144.200,0.327393,0.508301,-0.775635,1.672,-2.511,0.664,31.51
2026-02-12 18:14:12.435,144.300,0.323486,0.506348,-0.777344,1.557,-3.000,0.321,31.66
2026-02-12 18:14:12.535,144.400,0.320557,0.507324,-0.777832,1.641,-2.603,0.565,31.46
2026-02-12 18:14:12.635,144.500,0.318115,0.505615,-0.778076,1.641,-2.748,0.557,31.36
2026-02-12 18:14:12.735,144.600,0.322266,0.502197,-0.776855,1.786,-2.908,0.443,31.32
2026-02-12 18:14:12.835,144.700,0.321533,0.505615,-0.774658,1.496,-2.756,0.221,31.66
2026-02-12 18:14:12.935,144.800,0.323242,0.503906,-0.780273,1.779,-2.786,0.336,31.51
2026-02-12 18:14:13.035,144.900,0.319336,0.506592,-0.775391,1.977,-2.847,0.366,31.36
2026-02-12 18:14:13.135,145.000,0.320068,0.507812,-0.778809,1.679,-2.733,0.321,31.32
2026-02-12 18:14:13.235,145.100,0.324219,0.506592,-0.780273,1.847,-2.977,0.183,31.51
2026-02-12 18:14:13.335,145.200,0.322510,0.506836,-0.774170,1.824,-2.924,0.214,31.32
2026-02-12 18:14:13.435,145.300,0.322266,0.507080,-0.781006,1.710,-2.924,0.214,31.66
2026-02-12 18:14:13.535,145.400,0.321533,0.510986,-0.774902,1.687,-2.580,0.534,31.71
2026-02-12 18:14:13.635,145.500,0.322998,0.508057,-0.779541,1.679,-2.840,0.313,31.36
2026-02-12 18:14:13.735,145.600,0.322021,0.502930,-0.776123,1.443,-2.802,-0.038,31.51
2026-02-12 18:14:13.835,145.700,0.322510,0.506836,-0.778076,1.656,-2.870,0.008,31.36
2026-02-12 18:14:13.935,145.800,0.324707,0.506836,-0.785889,1.618,-2.962,0.076,31.66
2026-02-12 18:14:14.035,145.900,0.322998,0.504883,-0.776611,1.748,-2.802,0.313,31.51
2026-02-12 18:14:14.135,146.000,0.324219,0.506592,-0.781982,1.588,-3.046,0.389,31.36
2026-02-12 18:14:14.235,146.100,0.326172,0.504883,-0.778809,1.779,-2.634,0.450,31.17
2026-02-12 18:14:14.335,146.200,0.320801,0.506348,-0.779053,1.756,-2.870,0.183,31.66
2026-02-12 18:14:14.435,146.300,0.322266,0.506104,-0.777832,1.672,-2.908,0.328,31.76
2026-02-12 18:14:14.535,146.400,0.324219,0.511230,-0.782471,1.817,-2.863,0.336,31.66
2026-02-12 18:14:14.635,146.500,0.320557,0.504150,-0.779297,1.634,-2.679,0.511,31.32
2026-02-12 18:14:14.735,146.600,0.323486,0.509033,-0.779541,1.595,-2.885,0.282,31.51
2026-02-12 18:14:14.835,146.700,0.319336,0.501709,-0.779297,1.725,-2.985,0.542,31.51
2026-02-12 18:14:14.935,146.800,0.323242,0.505127,-0.772217,1.656,-2.748,0.206,31.66
2026-02-12 18:14:15.035,146.900,0.324951,0.509033,-0.782715,1.725,-2.855,0.412,31.51
2026-02-12 18:14:15.135,147.000,0.325928,0.505371,-0.779053,1.977,-2.847,0.527,31.56
2026-02-12 18:14:15.235,147.100,0.320068,0.508057,-0.778564,1.824,-2.740,0.206,31.17
2026-02-12 18:14:15.335,147.200,0.319092,0.503418,-0.776855,1.794,-2.901,0.191,31.02
2026-02-12 18:14:15.435,147.300,0.323242,0.508789,-0.779053,1.580,-3.076,0.427,31.51
2026-02-12 18:14:15.535,147.400,0.327148,0.507080,-0.782715,1.756,-2.832,0.153,31.51
2026-02-12 18:14:15.635,147.500,0.323486,0.502930,-0.776611,1.954,-2.802,0.252,31.32
2026-02-12 18:14:15.735,147.600,0.320801,0.509033,-0.775879,1.740,-2.511,0.206,31.32
2026-02-12 18:14:15.835,147.700,0.323242,0.505615,-0.780029,1.748,-2.756,0.328,31.46
2026-02-12 18:14:15.935,147.800,0.326660,0.506592,-0.777344,1.687,-2.573,0.137,31.51
2026-02-12 18:14:16.035,147.900,0.322266,0.506104,-0.776855,1.824,-2.977,0.290,31.36
2026-02-12 18:14:16.135,148.000,0.324951,0.505859,-0.779297,1.634,-2.748,0.305,31.71
2026-02-12 18:14:16.235,148.100,0.322266,0.510498,-0.776123,1.557,-2.908,0.443,31.76
2026-02-12 18:14:16.335,148.200,0.321289,0.505859,-0.775879,1.840,-2.908,0.420,31.66
2026-02-12 18:14:16.435,148.300,0.319336,0.508301,-0.773926,1.679,-2.901,0.260,31.66
2026-02-12 18:14:16.535,148.400,0.322266,0.509033,-0.778320,1.756,-2.840,0.336,31.51
2026-02-12 18:14:16.635,148.500,0.321289,0.508545,-0.780762,1.748,-2.626,0.046,31.46
2026-02-12 18:14:16.735,148.600,0.321777,0.508301,-0.774414,1.641,-2.779,0.221,31.66
2026-02-12 18:14:16.835,148.700,0.319092,0.503174,-0.782959,1.649,-2.855,0.267,31.36
2026-02-12 18:14:16.935,148.800,0.323242,0.507080,-0.776611,1.718,-2.748,0.176,31.36
2026-02-12 18:14:17.035,148.900,0.322510,0.507080,-0.780762,1.580,-2.901,0.366,31.51
2026-02-12 18:14:17.135,149.000,0.320801,0.507568,-0.781738,1.649,-2.939,0.069,31.85
2026-02-12 18:14:17.235,149.100,0.321045,0.506104,-0.782227,1.756,-2.947,0.267,31.66
2026-02-12 18:14:17.335,149.200,0.323242,0.505371,-0.780029,1.824,-2.939,0.252,31.32
2026-02-12 18:14:17.435,149.300,0.320068,0.504150,-0.776611,1.885,-3.031,0.237,31.17
2026-02-12 18:14:17.535,149.400,0.320557,0.509521,-0.779297,1.733,-2.832,0.412,31.51
2026-02-12 18:14:17.635,149.500,0.322998,0.509277,-0.774414,1.794,-2.786,0.198,31.51
2026-02-12 18:14:17.735,149.600,0.323242,0.509033,-0.777832,1.626,-2.947,0.221,31.56
2026-02-12 18:14:17.835,149.700,0.323242,0.509521,-0.780518,1.748,-3.206,0.298,31.36
2026-02-12 18:14:17.935,149.800,0.322510,0.506104,-0.775879,2.031,-2.901,0.382,31.66
2026-02-12 18:14:18.035,149.900,0.323730,0.510742,-0.773438,1.481,-2.924,0.153,31.56
2026-02-12 18:14:18.135,150.000,0.325195,0.508301,-0.780518,1.618,-2.870,0.115,31.46
2026-02-12 18:14:18.235,150.100,0.324951,0.506836,-0.782227,1.824,-2.977,0.443,31.51
2026-02-12 18:14:18.335,150.200,0.322998,0.506592,-0.773682,1.374,-2.809,0.244,31.66
2026-02-12 18:14:18.435,150.300,0.322021,0.510986,-0.774658,1.802,-2.962,0.176,31.46
2026-02-12 18:14:18.535,150.400,0.324219,0.507324,-0.781982,1.534,-2.939,0.389,31.12
2026-02-12 18:14:18.635,150.500,0.320801,0.504395,-0.778320,1.794,-2.733,0.198,31.36
2026-02-12 18:14:18.735,150.600,0.326416,0.505371,-0.774414,1.580,-2.863,0.336,31.46
2026-02-12 18:14:18.835,150.700,0.324707,0.505859,-0.777832,1.672,-2.779,0.344,31.32
2026-02-12 18:14:18.935,150.800,0.320557,0.505371,-0.778809,1.840,-2.847,0.260,31.32
2026-02-12 18:14:19.035,150.900,0.324707,0.506348,-0.777344,1.687,-2.733,0.321,31.51
2026-02-12 18:14:19.135,151.000,0.323242,0.504883,-0.779541,1.977,-2.641,0.466,31.56
2026-02-12 18:14:19.235,151.100,0.325928,0.508301,-0.774414,1.878,-2.618,0.023,31.51
2026-02-12 18:14:19.335,151.200,0.322754,0.506104,-0.780762,1.893,-2.763,0.137,31.66
2026-02-12 18:14:19.435,151.300,0.323730,0.506104,-0.775879,1.824,-2.908,0.115,31.46
2026-02-12 18:14:19.535,151.400,0.321289,0.508545,-0.778809,1.809,-2.740,0.290,31.36
2026-02-12 18:14:19.635,151.500,0.323730,0.505127,-0.781250,1.740,-2.817,0.046,31.71
2026-02-12 18:14:19.735,151.600,0.322021,0.509033,-0.777344,1.786,-3.031,0.435,31.46
2026-02-12 18:14:19.835,151.700,0.323730,0.506836,-0.779297,1.580,-2.870,0.359,31.22
2026-02-12 18:14:19.935,151.800,0.325439,0.511230,-0.782471,1.618,-2.710,0.153,31.51
